Category,Sample_Name,PC1,PC2,PC3
Tajiri,Tajiri__Figure 1 Set A__Figure1_SetA_1747.6,6.148666836575159,2.7447913513188955,1.280673650332896
Tajiri,Tajiri__Figure 1 Set A__Figure1_SetA_1789.5,6.244747978171636,0.8599867755512406,0.7021048460160639
Tajiri,Tajiri__Figure 1 Set A__Figure1_SetA_1935.0,6.102478053248882,0.5940590575222207,0.39442806977521233
Tajiri,Tajiri__Figure 1 Set A__Figure1_SetA_2113.4,5.51536028641061,0.4785419717884741,0.1506622696269787
Tajiri,Tajiri__Figure 1 Set A__Figure1_SetA_2138.8,5.608569399608555,0.22992835710785275,-0.01819915769189847
Tajiri,Tajiri__Figure 1 Set A__Figure1_SetA_2179.9,5.839319942174486,2.6725465253085408,0.9634009761048921
Tajiri,Tajiri__Figure 1 Set A__Figure1_SetA_2226.2,6.030618397939792,0.4738220281909386,0.48313149241314435
Tajiri,Tajiri__Figure 1 Set A__Figure1_SetA_2404.8,5.446632507555675,0.3659426187236128,0.2331019634133927
Tajiri,Tajiri__Figure 1 Set A__Figure1_SetA_2429.2,5.536709744299464,0.10969132777657031,0.07050426494603389
Tajiri,Tajiri__Figure 1 Set A__Figure1_SetA_2470.8,5.536709744299464,0.10969132777657031,0.07050426494603389
Tajiri,Tajiri__Figure 1 Set A__Figure1_SetA_2591.6,5.454055830505637,-0.009835321549792863,-0.025588552440246968
Tajiri,Tajiri__Figure 1 Set A__Figure1_SetA_2632.8,5.454055830505637,-0.009835321549792863,-0.025588552440246968
Tajiri,Tajiri__Figure 1 Set B__Figure1_SetB_1585.7,6.743526922931531,3.11837211352775,1.7621066425208431
Tajiri,Tajiri__Figure 1 Set B__Figure1_SetB_1747.7,6.148666836575159,2.7447913513188955,1.280673650332896
Tajiri,Tajiri__Figure 1 Set B__Figure1_SetB_1935.1,6.102478053248882,0.5940590575222207,0.39442806977521233
Tajiri,Tajiri__Figure 1 Set B__Figure1_SetB_2113.1,5.51536028641061,0.4785419717884741,0.1506622696269787
Tajiri,Tajiri__Figure 1 Set B__Figure1_SetB_2137.2,5.608569399608555,0.22992835710785275,-0.01819915769189847
Tajiri,Tajiri__Figure 2 Set A__Figure2_SetA_2300.4,5.52591548581473,0.11040170778148903,-0.11429197507817913
Tajiri,Tajiri__Figure 2 Set A__Figure2_SetA_2591.5,5.454055830505637,-0.009835321549792863,-0.025588552440246968
Tajiri,Tajiri__Figure 2 Set A__Figure2_SetA_2632.2,5.454055830505637,-0.009835321549792863,-0.025588552440246968
Tajiri,Tajiri__Figure 2 Set A__Figure2_SetA_2882.8,5.339052657306847,-0.13721021947562667,0.06330139760659821
Tajiri,Tajiri__Figure 2 Set A__Figure2_SetA_2925.8,5.339052657306847,-0.13721021947562667,0.06330139760659821
Tajiri,Tajiri__Figure 2 Set B__Figure2_SetB_1934.5,6.102478053248882,0.5940590575222207,0.39442806977521233
Tajiri,Tajiri__Figure 2 Set B__Figure2_SetB_2224.8,6.030618397939792,0.4738220281909386,0.48313149241314435
Tajiri,Tajiri__Figure 2 Set B__Figure2_SetB_2300.7,5.52591548581473,0.11040170778148903,-0.11429197507817913
Tajiri,Tajiri__Figure 2 Set B__Figure2_SetB_2342.5,5.52591548581473,0.11040170778148903,-0.11429197507817913
Tajiri,Tajiri__Figure 2 Set B__Figure2_SetB_2429.2,5.536709744299464,0.10969132777657031,0.07050426494603389
Tajiri,Tajiri__Figure 2 Set B__Figure2_SetB_2591.5,5.454055830505637,-0.009835321549792863,-0.025588552440246968
Tajiri,Tajiri__Figure 2 Set B__Figure2_SetB_2632.8,5.454055830505637,-0.009835321549792863,-0.025588552440246968
Tajiri,Tajiri__Figure 2 Set B__Figure2_SetB_2882.8,5.339052657306847,-0.13721021947562667,0.06330139760659821
Tajiri,Tajiri__Figure 2 Set B__Figure2_SetB_2924.7,5.339052657306847,-0.13721021947562667,0.06330139760659821
Tajiri,Tajiri__Figure 2 Set B__Figure2_SetB_3249.5,-6.407883822775186,-8.898722606595797,-8.408655803140892
Tajiri,Tajiri__Figure 2 Set B__Figure2_SetB_3540.7,-18.62576314617316,-14.278629761397243,7.419854874973236
Tajiri,Tajiri__Figure 2 Set C__Figure2_SetC_1772.7,6.643571751792313,3.1108147681586433,1.5769833741366273
Tajiri,Tajiri__Figure 2 Set C__Figure2_SetC_1934.8,6.102478053248882,0.5940590575222207,0.39442806977521233
Tajiri,Tajiri__Figure 2 Set C__Figure2_SetC_2138.5,5.608569399608555,0.22992835710785275,-0.01819915769189847
Tajiri,Tajiri__Figure 2 Set C__Figure2_SetC_2225.6,6.030618397939792,0.4738220281909386,0.48313149241314435
Tajiri,Tajiri__Figure 2 Set C__Figure2_SetC_2301.0,5.52591548581473,0.11040170778148903,-0.11429197507817913
Tajiri,Tajiri__Figure 2 Set C__Figure2_SetC_2343.1,5.52591548581473,0.11040170778148903,-0.11429197507817913
Tajiri,Tajiri__Figure 2 Set C__Figure2_SetC_2429.2,5.536709744299464,0.10969132777657031,0.07050426494603389
Tajiri,Tajiri__Figure 2 Set C__Figure2_SetC_2591.5,5.454055830505637,-0.009835321549792863,-0.025588552440246968
Tajiri,Tajiri__Figure 2 Set C__Figure2_SetC_2633.4,5.454055830505637,-0.009835321549792863,-0.025588552440246968
Tajiri,Tajiri__Figure 2 Set C__Figure2_SetC_2882.8,5.339052657306847,-0.13721021947562667,0.06330139760659821
